state,county,population,center_name,address,contact
Colorado,Wray,Population Not Found,UPS Authorized Shipping Provider,"333 DEXTER ST WRAY, CO 80758 inside:  QUALITY FARM & RANCH CTR LLC  ",(970) 332-4931
Florida,Estero,Population Not Found,UPS Access Point®,"8018 MEDITERRANEAN DR ESTERO, FL 33928 inside:  Michaels  ",(239) 949-4299
Hawaii,Aiea,Population Not Found,UPS Authorized Shipping Outlet,"98-820 MOANALUA RD I5AIEA, HI 96701 inside:  ALOHA SHIP & PACK CORP  ",Not given on that place
Hawaii,Princeville,Population Not Found,UPS Authorized Shipping Outlet,"5-4280 KUHIO HWY G-103PRINCEVILLE, HI 96722 inside:  TECH 808  ",Not given on that place
Florida,Estero,Population Not Found,UPS Access Point®,"11241 MIROMAR SQUARE BLVD ESTERO, FL 33928 inside:  CVS  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"2650 CRUSE RD LAWRENCEVILLE, GA 30044 inside:  CVS  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"2935 FIVE FORKS TRICKUM RD LAWRENCEVILLE, GA 30044 inside:  CVS  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"5710 SUGARLOAF PKWY LAWRENCEVILLE, GA 30043 inside:  CVS  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"202 GRAYSON HWY LAWRENCEVILLE, GA 30046 inside:  CVS  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,The UPS Store®,"1187 GRAYSON HWY LAWRENCEVILLE, GA 30045 inside:  CVS  ",(770) 338-2513
Georgia,Lawrenceville,Population Not Found,The UPS Store®,"620 W PIKE ST LAWRENCEVILLE, GA 30046 inside:  CVS  ",(770) 339-1801
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"950 HERRINGTON RD LAWRENCEVILLE, GA 30044 inside:  THE UPS STORE  ",(770) 237-2600
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"1250 SCENIC HWY 1701LAWRENCEVILLE, GA 30045 inside:  THE UPS STORE  ",(470) 375-7680
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"1525 BUFORD DR LAWRENCEVILLE, GA 30043 inside:  CVS  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,UPS Access Point®,"1093 DULUTH HWY LAWRENCEVILLE, GA 30043 inside:  Advance Auto Parts  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,The UPS Store®,"1614 LAWRENCEVILLE HWY LAWRENCEVILLE, GA 30044 inside:  Advance Auto Parts  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,The UPS Store®,"2930 FIVE FORKS TRICKUM RD LAWRENCEVILLE, GA 30044 inside:  Advance Auto Parts  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,The UPS Store®,"1455 PLEASANT HILL RD LAWRENCEVILLE, GA 30044 inside:  Advance Auto Parts  ",(800) 742-5877
Florida,Englewood,Population Not Found,UPS Access Point®,"1760 S MCCALL RD ENGLEWOOD, FL 34223 inside:  CVS  ",(800) 742-5877
Florida,Englewood,Population Not Found,UPS Access Point®,"2630 S MCCALL RD ENGLEWOOD, FL 34224 inside:  Advance Auto Parts  ",(800) 742-5877
Florida,Englewood,Population Not Found,The UPS Store®,"2828 S MCCALL RD STE 32ENGLEWOOD, FL 34224 inside:  PARCEL EXPRESS  ",(941) 474-0667
Hawaii,Waipahu,Population Not Found,The UPS Store®,"94-1221 KA UKA BLVD B-108WAIPAHU, HI 96797 inside:  THE UPS STORE  ",(808) 677-3182
Hawaii,Waipahu,Population Not Found,The UPS Store®,"94-830 MOLOALO ST UNIT 102WAIPAHU, HI 96797 inside:  THE UPS STORE  ",(808) 501-2209
Iowa,Dallas Center,Population Not Found,UPS Authorized Shipping Provider,"2476 240TH ST DALLAS CENTER, IA 50063 inside:  MOSS BROS, INC.  ",(515) 992-3858
Georgia,Lawrenceville,Population Not Found,The UPS Store®,"802 BUFORD DR LAWRENCEVILLE, GA 30043 inside:  Advance Auto Parts  ",(800) 742-5877
Georgia,Lawrenceville,Population Not Found,UPS Authorized Shipping Outlet,"4850 SUGARLOAF PKWY STE 209LAWRENCEVILLE, GA 30044 inside:  THE UPS STORE  ",(770) 277-3007
Georgia,Lawrenceville,Population Not Found,The UPS Store®,"455 GRAYSON HWY 113LAWRENCEVILLE, GA 30046 inside:  THE UPS STORE  ",(678) 373-3069
Hawaii,Wailuku,Population Not Found,UPS Access Point®,"135 KEHALANI VILLAGE DR WAILUKU, HI 96793 inside:  CVS  ",(808) 242-5606
Florida,Riverview,Population Not Found,UPS Access Point®,"10623 GIBSONTON DR RIVERVIEW, FL 33578 inside:  CVS  ",(800) 742-5877
Iowa,Creston,Population Not Found,UPS Customer Center,"222 E UNION CRESTON, IA 50801 inside:  UPS CC CRESTON  ",(888) 742-5877
Florida,Riverview,Population Not Found,UPS Access Point®,"5905 US HIGHWAY 301 S RIVERVIEW, FL 33578 inside:  CVS  ",(800) 742-5877
Florida,Riverview,Population Not Found,UPS Access Point®,"10013 MCMULLEN RD RIVERVIEW, FL 33569 inside:  CVS  ",(813) 677-4551
Florida,Riverview,Population Not Found,UPS Access Point®,"13029 US HIGHWAY 301 S RIVERVIEW, FL 33578 inside:  Advance Auto Parts  ",(800) 742-5877
Florida,Riverview,Population Not Found,The UPS Store®,"13324 BOYETTE RD RIVERVIEW, FL 33569 inside:  Advance Auto Parts  ",(800) 742-5877
Florida,Riverview,Population Not Found,The UPS Store®,"8630 US HIGHWAY 301 S RIVERVIEW, FL 33578 inside:  Advance Auto Parts  ",(800) 742-5877
Florida,Riverview,Population Not Found,The UPS Store®,"11705 BOYETTE RD RIVERVIEW, FL 33569 inside:  THE UPS STORE  ",(813) 672-9483
Illinois,Carbondale,Population Not Found,UPS Alliance Shipping Partner,"1325 E MAIN ST CARBONDALE, IL 62901 inside:  Staples  ",(618) 457-2825
Illinois,Carmi,Population Not Found,UPS Access Point®,"1101 W MAIN ST CARMI, IL 62821 inside:  CVS  ",(800) 742-5877
Illinois,Carlinville,Population Not Found,UPS Access Point®,"116 S PLUM ST 1CARLINVILLE, IL 62626 inside:  STARR'S PRIMAL MEATS  ",(800) 742-5877
Illinois,Carlinville,Population Not Found,UPS Authorized Shipping Provider,"116 S PLUM ST STE 1CARLINVILLE, IL 62626 inside:  STARR'S PRIMAL MEATS & PACKAGE  ",(217) 854-7746
Illinois,Carol Stream,Population Not Found,UPS Access Point®,"257 W ELK TRL CAROL STREAM, IL 60188 inside:  CAROL STREAM FOOD MART  ",(800) 742-5877
Illinois,Carlyle,Population Not Found,UPS Access Point®,"1171 FRANKLIN ST CARLYLE, IL 62231 inside:  CVS  ",(800) 742-5877
Illinois,Carrollton,Population Not Found,UPS Authorized Shipping Provider,"508 N MAIN ST CARROLLTON, IL 62016 inside:  PHARMACY PLUS  ",(217) 942-3427
Illinois,Carol Stream,Population Not Found,UPS Access Point®,"26W212 GENEVA RD CAROL STREAM, IL 60188 inside:  CVS  ",(800) 742-5877
Illinois,Carol Stream,Population Not Found,The UPS Store®,"145 N GARY AVE CAROL STREAM, IL 60188 inside:  Carquest Store  ",(800) 742-5877
Illinois,Carpentersville,Population Not Found,UPS Access Point®,"150 S KENNEDY DR ACARPENTERSVILLE, IL 60110 inside:  EL PARAISO FURNITURE INC.  ",(800) 742-5877
Illinois,Carpentersville,Population Not Found,UPS Access Point®,"340 LAKE MARIAN RD CARPENTERSVILLE, IL 60110 inside:  Advance Auto Parts  ",(800) 742-5877
Illinois,Canton,Population Not Found,UPS Access Point®,"1773 E CHESTNUT ST CANTON, IL 61520 inside:  CVS  ",(800) 742-5877
Kansas,Norton,5459,UPS Authorized Shipping Provider,"117 N 2ND AVE NORTON, KS 67654 inside:  JAMBOREE FOODS  ",(785) 877-2551
Kansas,Neodesha,Population Not Found,UPS Access Point®,"710 MAIN ST NEODESHA, KS 66757 inside:  SAGEBRUSH MERCANTILE  ",(800) 742-5877
Kansas,Osawatomie,Population Not Found,UPS Authorized Shipping Provider,"570 MAIN ST OSAWATOMIE, KS 66064 inside:  PALACE MARKET  ",(913) 755-2513
Kansas,Olathe,Population Not Found,UPS Access Point®,"16579 W 151ST ST OLATHE, KS 66062 inside:  HARVEST MOON NATURAL FOODS  ",(800) 742-5877
Kansas,Oberlin,Population Not Found,UPS Authorized Shipping Provider,"149 S PENN AVE OBERLIN, KS 67749 inside:  HICKOK HARDWARE  ",(785) 475-2331
Kansas,Olathe,Population Not Found,UPS Access Point®,"18351 W 119TH ST OLATHE, KS 66061 inside:  CVS  ",(800) 742-5877
Kansas,Olathe,Population Not Found,UPS Access Point®,"1785 S MUR LEN RD OLATHE, KS 66062 inside:  CVS  ",(800) 742-5877
Kansas,Olathe,Population Not Found,UPS Access Point®,"1075 W SANTA FE ST OLATHE, KS 66061 inside:  CVS  ",(800) 742-5877
Kansas,Olathe,Population Not Found,The UPS Store®,"14685 W 119TH ST OLATHE, KS 66062 inside:  Michaels  ",(800) 742-5877
Kansas,Olathe,Population Not Found,UPS Access Point®,"13505 S MUR LEN RD 105OLATHE, KS 66062 inside:  THE UPS STORE  ",(913) 829-3750
Kansas,Olathe,Population Not Found,UPS Access Point®,"119 N PARKER ST OLATHE, KS 66061 inside:  THE UPS STORE  ",(913) 829-8686
Kansas,Olathe,Population Not Found,The UPS Store®,"205 S PARKER ST OLATHE, KS 66061 inside:  Advance Auto Parts  ",(800) 742-5877
Kansas,Osage City,Population Not Found,UPS Authorized Shipping Provider,"523 MARKET ST OSAGE CITY, KS 66523 inside:  MCCOY'S HOME FURNISHINGS  ",(785) 528-8118
Kansas,Newton,Population Not Found,UPS Access Point®,"606 N MAIN ST NEWTON, KS 67114 inside:  FAITH & LIFE, INC.-AP590  ",(800) 742-5877
Kansas,Newton,Population Not Found,UPS Access Point®,"201 S MERIDIAN RD NEWTON, KS 67114 inside:  Carquest Store  ",(800) 742-5877
Kansas,Moundridge,Population Not Found,UPS Authorized Shipping Provider,"101 S AVENUE A MOUNDRIDGE, KS 67107 inside:  MOUNDRIDGE IGA  ",(620) 345-8313
Illinois,Wood River,Population Not Found,UPS Access Point®,"1 W EDWARDSVILLE RD WOOD RIVER, IL 62095 inside:  CVS  ",(800) 742-5877
Illinois,Wood River,Population Not Found,UPS Access Point®,"934 E EDWARDSVILLE RD WOOD RIVER, IL 62095 inside:  Advance Auto Parts  ",(800) 742-5877
Illinois,Worth,Population Not Found,UPS Access Point®,"6748 W 111TH ST WORTH, IL 60482 inside:  CVS  ",(800) 742-5877
Illinois,Worth,Population Not Found,UPS Access Point®,"6603 W 111TH ST WORTH, IL 60482 inside:  Carquest Store  ",(800) 742-5877
Illinois,Yorkville,Population Not Found,UPS Access Point®,"1313 N BRIDGE ST YORKVILLE, IL 60560 inside:  Advance Auto Parts  ",(800) 742-5877
Illinois,Yorkville,Population Not Found,The UPS Store®,"1905 MARKETVIEW DR UNIT 100YORKVILLE, IL 60560 inside:  THE UPS STORE  ",(630) 553-5144
Illinois,Zion,Population Not Found,UPS Access Point®,"2024 SHERIDAN RD ZION, IL 60099 inside:  Advance Auto Parts  ",(800) 742-5877
Illinois,Woodridge,Population Not Found,UPS Access Point®,"8645 WOODWARD AVE WOODRIDGE, IL 60517 inside:  CVS  ",(800) 742-5877
Illinois,Wood Dale,Population Not Found,UPS Access Point®,"380 W IRVING PARK RD WOOD DALE, IL 60191 inside:  TIME JEWEL CORPORATION  ",(800) 742-5877
Illinois,Winnetka,Population Not Found,The UPS Store®,"1001 GREEN BAY RD WINNETKA, IL 60093 inside:  THE UPS STORE  ",(847) 446-6899
Illinois,Woodstock,Population Not Found,UPS Access Point®,"520 S EASTWOOD DR WOODSTOCK, IL 60098 inside:  Advance Auto Parts  ",(800) 742-5877
Illinois,Woodstock,Population Not Found,The UPS Store®,"720 S EASTWOOD DR WOODSTOCK, IL 60098 inside:  THE UPS STORE  ",(815) 206-3602
Illinois,Wilmette,Population Not Found,UPS Access Point®,"1515 SHERIDAN RD WILMETTE, IL 60091 inside:  CVS  ",(800) 742-5877
Illinois,Wilmette,Population Not Found,The UPS Store®,"3223 LAKE AVE 15CWILMETTE, IL 60091 inside:  THE UPS STORE  ",(847) 853-1300
Illinois,Westville,Population Not Found,UPS Access Point®,"102 S STATE ST WESTVILLE, IL 61883 inside:  CVS  ",(800) 742-5877
Illinois,Wheaton,Population Not Found,UPS Access Point®,"107 E FRONT ST WHEATON, IL 60187 inside:  MOORE TOYS & GADGETS  ",(800) 742-5877
Illinois,Willowbrook,Population Not Found,UPS Alliance Shipping Partner,"7199 S KINGERY HWY WILLOWBROOK, IL 60527 inside:  Staples  ",(630) 920-0506
Illinois,Willowbrook,Population Not Found,UPS Access Point®,"7155 S KINGERY HWY WILLOWBROOK, IL 60527 inside:  Michaels  ",(800) 742-5877
Illinois,Wheaton,Population Not Found,The UPS Store®,"20 DANADA SQ W WHEATON, IL 60189 inside:  THE UPS STORE  ",(630) 653-8700
Illinois,Westmont,Population Not Found,UPS Customer Center,"210 W 63RD ST WESTMONT, IL 60559 inside:  UPS CC WESTMONT  ",(888) 742-5877
Illinois,Westmont,Population Not Found,The UPS Store®,"4 E OGDEN AVE WESTMONT, IL 60559 inside:  THE UPS STORE  ",(630) 321-0400
Illinois,Wilmington,Population Not Found,UPS Authorized Shipping Provider,"1105 S WATER ST WILMINGTON, IL 60481 inside:  WHITMORE ACE HARDWARE  ",(815) 476-7731
Illinois,Westchester,Population Not Found,The UPS Store®,"3013 WOLF RD WESTCHESTER, IL 60154 inside:  THE UPS STORE  ",(708) 562-8777
Illinois,Wheeling,Population Not Found,UPS Access Point®,"98 E DUNDEE RD WHEELING, IL 60090 inside:  DIGI-CELL  ",(800) 742-5877
Illinois,Wheeling,Population Not Found,UPS Access Point®,"753 W DUNDEE RD WHEELING, IL 60090 inside:  Advance Auto Parts  ",(800) 742-5877
Illinois,Wheeling,Population Not Found,UPS Authorized Shipping Outlet,"82 S MILWAUKEE AVE WHEELING, IL 60090 inside:  THE UPS STORE  ",(224) 676-0873
Illinois,Waukegan,Population Not Found,UPS Access Point®,"1119 WASHINGTON ST WAUKEGAN, IL 60085 inside:  DISCOTECA MAYRA'S DEPORTES  ",(800) 742-5877
